"id","exchange_id","rate_close","rate_high","rate_low","rate_open","time_close","time_open","time_period_end","time_period_start"
2990,"BTC","17202.576746190","17218.159572198","17150.350574436","17167.088476250","2022-12-01 00:29:00+00","2022-12-01 00:00:00+00","2022-12-01 00:30:00+00","2022-12-01 00:00:00+00"
2991,"BTC","17157.456379492","17202.532260386","17137.583021067","17202.532260386","2022-12-01 00:59:00+00","2022-12-01 00:30:00+00","2022-12-01 01:00:00+00","2022-12-01 00:30:00+00"
2992,"BTC","17122.582145598","17163.418393337","17117.467842310","17163.418393337","2022-12-01 01:29:00+00","2022-12-01 01:00:00+00","2022-12-01 01:30:00+00","2022-12-01 01:00:00+00"
2993,"BTC","17113.227895511","17136.878427822","17113.227895511","17124.873463068","2022-12-01 01:59:00+00","2022-12-01 01:30:00+00","2022-12-01 02:00:00+00","2022-12-01 01:30:00+00"
2994,"BTC","17111.396131230","17140.617885460","17111.396131230","17117.138013170","2022-12-01 02:29:00+00","2022-12-01 02:00:00+00","2022-12-01 02:30:00+00","2022-12-01 02:00:00+00"
2995,"BTC","17124.329596907","17132.267740303","17097.058098276","17114.456498307","2022-12-01 02:59:00+00","2022-12-01 02:30:00+00","2022-12-01 03:00:00+00","2022-12-01 02:30:00+00"
2996,"BTC","17155.784736988","17164.038148258","17122.740353266","17123.592269783","2022-12-01 03:29:00+00","2022-12-01 03:00:00+00","2022-12-01 03:30:00+00","2022-12-01 03:00:00+00"
2997,"BTC","17147.361441831","17158.511609071","17144.129326319","17158.511609071","2022-12-01 03:59:00+00","2022-12-01 03:30:00+00","2022-12-01 04:00:00+00","2022-12-01 03:30:00+00"
2998,"BTC","17156.999026196","17165.986976577","17134.716022832","17151.953729744","2022-12-01 04:29:00+00","2022-12-01 04:00:00+00","2022-12-01 04:30:00+00","2022-12-01 04:00:00+00"
2999,"BTC","17141.886274758","17163.154798746","17139.767545869","17161.407809363","2022-12-01 04:59:00+00","2022-12-01 04:30:00+00","2022-12-01 05:00:00+00","2022-12-01 04:30:00+00"
3000,"BTC","17139.873604050","17151.558792825","17131.406628916","17143.174851685","2022-12-01 05:29:00+00","2022-12-01 05:00:00+00","2022-12-01 05:30:00+00","2022-12-01 05:00:00+00"
3001,"BTC","17114.244429555","17146.383747002","17088.809771951","17142.239712419","2022-12-01 05:59:00+00","2022-12-01 05:30:00+00","2022-12-01 06:00:00+00","2022-12-01 05:30:00+00"
3002,"BTC","17102.695432007","17118.677571996","17094.451534729","17111.282419277","2022-12-01 06:29:00+00","2022-12-01 06:00:00+00","2022-12-01 06:30:00+00","2022-12-01 06:00:00+00"
3003,"BTC","17118.646786974","17127.016700156","17088.685961764","17095.465117696","2022-12-01 06:59:00+00","2022-12-01 06:30:00+00","2022-12-01 07:00:00+00","2022-12-01 06:30:00+00"
